时间,PID,CPU(%),MEM(%)
2024-05-05 17:30:23,8511, 2.7, 0.6
2024-05-05 17:30:23,8516, 2.6, 0.4
2024-05-05 17:30:23,8530, 2.5, 0.5
2024-05-05 17:30:23,8541, 2.5, 0.5
2024-05-05 17:30:23,8549, 2.5, 0.5
2024-05-05 17:30:23,8557, 2.6, 0.5
2024-05-05 17:30:24,33315, 2.9, 1.5
2024-05-05 17:30:24,8498, 2.3, 0.3
2024-05-05 17:30:24,8511, 2.7, 0.6
2024-05-05 17:30:24,8516, 2.6, 0.4
2024-05-05 17:30:24,8530, 2.5, 0.5
2024-05-05 17:30:24,8541, 2.5, 0.5
2024-05-05 17:30:24,8549, 2.5, 0.5
2024-05-05 17:30:24,8557, 2.6, 0.5
2024-05-05 17:30:24,33315, 2.9, 1.5
2024-05-05 17:30:24,8498, 2.3, 0.3
2024-05-05 17:30:24,8511, 2.7, 0.6
2024-05-05 17:30:24,8516, 2.6, 0.4
2024-05-05 17:30:24,8530, 2.5, 0.5
2024-05-05 17:30:24,8541, 2.5, 0.5
2024-05-05 17:30:24,8549, 2.5, 0.5
2024-05-05 17:30:24,8557, 2.6, 0.5
2024-05-05 17:30:24,33315, 2.9, 1.5
2024-05-05 17:30:24,8498, 2.3, 0.3
2024-05-05 17:30:24,8511, 2.7, 0.6
2024-05-05 17:30:24,8516, 2.6, 0.4
2024-05-05 17:30:24,8530, 2.5, 0.5
2024-05-05 17:30:24,8541, 2.5, 0.5
2024-05-05 17:30:24,8549, 2.5, 0.5
2024-05-05 17:30:24,8557, 2.6, 0.5
2024-05-05 17:30:24,33315, 2.9, 1.5
2024-05-05 17:30:24,8498, 2.3, 0.3
2024-05-05 17:30:24,8511, 2.7, 0.6
2024-05-05 17:30:24,8516, 2.6, 0.4
2024-05-05 17:30:24,8530, 2.5, 0.5
2024-05-05 17:30:24,8541, 2.5, 0.5
2024-05-05 17:30:24,8549, 2.5, 0.5
2024-05-05 17:30:24,8557, 2.6, 0.5
2024-05-05 17:30:25,33315, 2.9, 1.5
2024-05-05 17:30:25,8498, 2.3, 0.3
2024-05-05 17:30:25,8511, 2.7, 0.6
2024-05-05 17:30:25,8516, 2.6, 0.4
2024-05-05 17:30:25,8530, 2.5, 0.5
2024-05-05 17:30:25,8541, 2.5, 0.5
2024-05-05 17:30:25,8549, 2.5, 0.5
2024-05-05 17:30:25,8557, 2.6, 0.5
2024-05-05 17:30:25,33315, 2.9, 1.5
2024-05-05 17:30:25,8498, 2.3, 0.3
2024-05-05 17:30:25,8511, 2.7, 0.6
2024-05-05 17:30:25,8516, 2.6, 0.4
2024-05-05 17:30:25,8530, 2.5, 0.5
2024-05-05 17:30:25,8541, 2.5, 0.5
2024-05-05 17:30:25,8549, 2.5, 0.5
2024-05-05 17:30:25,8557, 2.6, 0.5
2024-05-05 17:30:25,33315, 2.9, 1.5
2024-05-05 17:30:25,8498, 2.3, 0.3
2024-05-05 17:30:25,8511, 2.7, 0.6
2024-05-05 17:30:25,8516, 2.6, 0.4
2024-05-05 17:30:25,8530, 2.5, 0.5
2024-05-05 17:30:25,8541, 2.5, 0.5
2024-05-05 17:30:25,8549, 2.5, 0.5
2024-05-05 17:30:25,8557, 2.6, 0.5
2024-05-05 17:30:25,33315, 2.9, 1.5
2024-05-05 17:30:25,8498, 2.3, 0.3
2024-05-05 17:30:25,8511, 2.7, 0.6
2024-05-05 17:30:25,8516, 2.6, 0.4
2024-05-05 17:30:25,8530, 2.5, 0.5
2024-05-05 17:30:25,8541, 2.5, 0.5
2024-05-05 17:30:25,8549, 2.5, 0.5
2024-05-05 17:30:25,8557, 2.6, 0.5
2024-05-05 17:30:25,33315, 2.9, 1.5
2024-05-05 17:30:25,8498, 2.3, 0.3
2024-05-05 17:30:25,8511, 2.7, 0.6
2024-05-05 17:30:25,8516, 2.6, 0.4
2024-05-05 17:30:25,8530, 2.5, 0.5
2024-05-05 17:30:25,8541, 2.5, 0.5
2024-05-05 17:30:25,8549, 2.5, 0.5
2024-05-05 17:30:25,8557, 2.6, 0.5
2024-05-05 17:30:26,33315, 2.9, 1.5
2024-05-05 17:30:26,8498, 2.3, 0.3
2024-05-05 17:30:26,8511, 2.7, 0.6
2024-05-05 17:30:26,8516, 2.6, 0.4
2024-05-05 17:30:26,8530, 2.5, 0.5
2024-05-05 17:30:26,8541, 2.5, 0.5
2024-05-05 17:30:26,8549, 2.5, 0.5
2024-05-05 17:30:26,8557, 2.6, 0.5
2024-05-05 17:30:26,33315, 2.9, 1.5
2024-05-05 17:30:26,8498, 2.3, 0.3
2024-05-05 17:30:26,8511, 2.7, 0.6
2024-05-05 17:30:26,8516, 2.6, 0.4
2024-05-05 17:30:26,8530, 2.5, 0.5
2024-05-05 17:30:26,8541, 2.5, 0.5
2024-05-05 17:30:26,8549, 2.5, 0.5
2024-05-05 17:30:26,8557, 2.6, 0.5
2024-05-05 17:30:26,33315, 2.9, 1.5
2024-05-05 17:30:26,8498, 2.3, 0.3
2024-05-05 17:30:26,8511, 2.7, 0.6
2024-05-05 17:30:26,8516, 2.6, 0.4
2024-05-05 17:30:26,8530, 2.5, 0.5
2024-05-05 17:30:26,8541, 2.5, 0.5
2024-05-05 17:30:26,8549, 2.5, 0.5
2024-05-05 17:30:26,8557, 2.6, 0.5
2024-05-05 17:30:26,33315, 2.9, 1.5
2024-05-05 17:30:26,8498, 2.3, 0.3
2024-05-05 17:30:26,8511, 2.7, 0.6
2024-05-05 17:30:26,8516, 2.6, 0.4
2024-05-05 17:30:26,8530, 2.5, 0.5
2024-05-05 17:30:26,8541, 2.5, 0.5
2024-05-05 17:30:26,8549, 2.5, 0.5
2024-05-05 17:30:26,8557, 2.6, 0.5
2024-05-05 17:30:27,33315, 2.9, 1.5
2024-05-05 17:30:27,8498, 2.3, 0.3
2024-05-05 17:30:27,8511, 2.7, 0.6
2024-05-05 17:30:27,8516, 2.6, 0.4
2024-05-05 17:30:27,8530, 2.5, 0.5
2024-05-05 17:30:27,8541, 2.5, 0.5
2024-05-05 17:30:27,8549, 2.5, 0.5
2024-05-05 17:30:27,8557, 2.6, 0.5
2024-05-05 17:30:27,33315, 2.9, 1.5
2024-05-05 17:30:27,8498, 2.3, 0.3
2024-05-05 17:30:27,8511, 2.7, 0.6
2024-05-05 17:30:27,8516, 2.6, 0.4
2024-05-05 17:30:27,8530, 2.5, 0.5
2024-05-05 17:30:27,8541, 2.5, 0.5
2024-05-05 17:30:27,8549, 2.5, 0.5
2024-05-05 17:30:27,8557, 2.6, 0.5
2024-05-05 17:30:27,33315, 2.9, 1.5
2024-05-05 17:30:27,8498, 2.3, 0.3
2024-05-05 17:30:27,8511, 2.7, 0.6
2024-05-05 17:30:27,8516, 2.6, 0.4
2024-05-05 17:30:27,8530, 2.5, 0.5
